"","Rodents","superres","Flag","Zdiv","MSW05_Order","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","WOS_HITS","Production","postnatGR","RelAgeSexMat","RelAgeBirth","logNeoBM","Abrocomidae","Anomaluridae","Aplodontiidae","Bathyergidae","Calomyscidae","Capromyidae","Castoridae","Caviidae","Chinchillidae","Cricetidae","Ctenodactylidae","Ctenomyidae","Cuniculidae","Dasyproctidae","Dinomyidae","Dipodidae","Echimyidae","Erethizontidae","Geomyidae","Gliridae","Heptaxodontidae","Heteromyidae","Hystricidae","Muridae","Myocastoridae","Nesomyidae","Octodontidae","Pedetidae","Petromuridae","Platacanthomyidae","Sciuridae","Spalacidae","Thryonomyidae","MammRich","SpeciesDensity"
"573","Dremomys_pyrrhomerus",0,0,0,"Rodentia","Dremomys","pyrrhomerus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5052263031163,31.19,18.16,24.68,118.47,103.65,111.06,49,5.39807219968503,81,0.07,119.34,156.34,1031.03,1089.42,0.693147180559945,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,251,-3.46557153881702
"574","Dremomys_rufigenis",0,0,0,"Rodentia","Dremomys","rufigenis",NA,5.29991608791173,202.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1971;2655;2844",NA,NA,NA,NA,13.8836818600555,26.49,2.52,14.51,108.58,94.92,101.75,2,4.47278099794235,6,0.09,159.35,224.53,1164.97,1491.52,1.79175946922805,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,522,-3.31193591732011
"575","Dryomys_laniger",0,0,0,"Rodentia","Dryomys","laniger",1,3.25462899457402,105,16,NA,NA,NA,4,NA,3.40784192438082,3,NA,NA,NA,4.18,1,NA,NA,NA,NA,NA,NA,NA,2,2,31.32,NA,NA,"899;1297;2151",NA,NA,NA,NA,6.41776116479608,37.53,36.63,37.08,34.52,29.98,32.25,49,4.20469261939097,49,0.14,58.32,91.33,382.87,1017.29,1.6094379124341,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,-0.862918973982042
"576","Dryomys_niethammeri",0,0,0,"Rodentia","Dryomys","niethammeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,NA
"577","Dryomys_nitedula",0,0,0,"Rodentia","Dryomys","nitedula",1,3.38439026334577,105,16,NA,NA,NA,4,NA,3.19867311755068,3,NA,NA,NA,3.24,1,48,NA,NA,NA,NA,NA,NA,2,2,31.32,NA,NA,"543;1297;2151;2655",NA,NA,NA,NA,15.392726210681,57.41,27.22,42.31,93.45,9.67,51.56,1,4.28799064274729,4,0.06,38.84,81.3,382.11,820.82,3.49650756146648,NA,NA,NA,NA,0.195899652409234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,426,-4.05556645564358
"578","Echimys_chrysurus",0,0,0,"Rodentia","Echimys","chrysurus",1,6.41344256359036,296.11,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1.94,NA,NA,NA,1.82454929205105,NA,NA,1,NA,2,1,NA,NA,NA,"730;905;1297;2151;2431;2655",NA,NA,NA,NA,14.0460094403868,6.89,-6.42,0.23,-45.29,-61.81,-53.55,0,2.00821403239147,0,0.11,162.77,252.94,1436.1,1674.17,0.693147180559945,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,-3.59904513050323
"579","Echimys_saturnus",0,0,0,"Rodentia","Echimys","saturnus",NA,6.44077108664528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.9811833212407,0.63,-3.25,-1.3,-73.52,-78.4,-75.96,1,2.39333945626251,1,0.15,238,252.72,1384.88,1391.85,0.693147180559945,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,-2.78011592914931
"580","Echimys_semivillosus",0,0,0,"Rodentia","Echimys","semivillosus",1,5.64318285252727,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3.56755891887738,NA,NA,NA,NA,2,1,NA,NA,NA,"730;2151;2655",NA,NA,NA,NA,12.5296482194078,11.54,5.88,8.71,-64.34,-74.95,-69.65,1,4.37361636731391,1,0.11,98.27,254.6,1273.73,1741.56,0.693147180559945,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"581","Echinoprocta_rufescens",0,0,0,"Rodentia","Echinoprocta","rufescens",NA,6.72358000511584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,10.381564442635,1.66,-3.52,-0.92,-75.8,-78.51,-77.15,2,3.18511219471539,2,0.13,207.19,206.06,1374.84,1395.21,1.09861228866811,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,-1.91096096503386
"582","Echiothrix_centrosa",0,0,0,"Rodentia","Echiothrix","centrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116,NA
"583","Echiothrix_leucura",0,0,0,"Rodentia","Echiothrix","leucura",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92,NA
"584","Elasmodontomys_obliquus",0,0,0,"Rodentia","Elasmodontomys","obliquus",NA,9.52515111181622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09861228866811,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"585","Eligmodontia_moreni",0,0,0,"Rodentia","Eligmodontia","moreni",NA,2.89037175789616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,9.5938011508202,-24.51,-28.56,-26.53,-65.77,-66.72,-66.25,1,1.88706964903238,1,0.07,48.85,41.43,548.1,1237.14,1.79175946922805,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,-2.19340704667858
"586","Eligmodontia_morgani",0,0,0,"Rodentia","Eligmodontia","morgani",NA,2.80336038090653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,12.2695713919143,-39.83,-48.02,-43.92,-65.87,-72.17,-69.02,0,0.698134722070984,0,0.06,37.02,70.45,353.94,592.94,2.70805020110221,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,-3.45354588743467
"587","Eligmodontia_puerulus",0,0,0,"Rodentia","Eligmodontia","puerulus",NA,3.34955314850982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,12.9554466033136,-14.16,-28.1,-21.13,-65.29,-71.23,-68.26,0,2.54553127160443,0,0.05,45.53,17,475.88,1236.43,2.07944154167984,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,-3.26286699051919
"588","Eligmodontia_typus",0,0,0,"Rodentia","Eligmodontia","typus",1,2.85474458025301,NA,13.5,NA,29.99,17.5,1,NA,2.91126311692754,2,NA,NA,NA,6.24,NA,9.6,NA,NA,NA,4.01728351608564,NA,NA,1,1,NA,NA,NA,"543;890;1297;1822;1875;2655",NA,NA,NA,NA,13.2837094113289,-29.95,-52.38,-41.17,-58.74,-70.62,-64.68,0,2.63691217326887,0,0.07,26.64,116,357.13,736.23,3.36729582998647,NA,NA,0.192881944444444,NA,0.235528446907549,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,-3.56492171389052
"589","Eliomys_melanurus",0,0,0,"Rodentia","Eliomys","melanurus",NA,4.60876372149822,137.5,NA,NA,NA,NA,4,NA,3.2188758248682,NA,NA,NA,NA,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"899;2655",NA,NA,NA,NA,12.6546723041386,38.05,15.43,26.74,45.04,32.55,38.79,1,4.85919205694724,2,0.21,23.64,178.88,267.2,1284.64,2.56494935746154,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138,-3.35597526558006
