"","treename","traitname","studies","hPCR","competence","tip","gen","fam","Rodents","superres","Flag","Zdiv","MSW05_Order","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","WOS_HITS","Production","postnatGR","RelAgeSexMat","RelAgeBirth","logNeoBM","MammRich","SpeciesDensity","ed_equal","cites"
"11","Abrothrix_olivaceus","Abrothrix_olivaceus",5,0,0,"Abrothrix_olivaceus","Abrothrix","CRICETIDAE","Abrothrix_olivaceus",0,1,1,"Rodentia","Abrothrix","olivaceus",2,3.19948911106801,96.69,NA,NA,49.19,27,7,NA,NA,3,0.000448,-7.67562600573802,NA,5.34,2,12,NA,8.07458992014144,NA,5.13803123661469,NA,NA,2,2,NA,NA,NA,"730;890;1025;1114;1130;1297;1449;1473;1492;1822;1829;2006;2008;2242;2655",NA,NA,NA,NA,13.7272250314089,-18.48,-55.72,-37.1,-64.97,-75.26,-70.11,0,2.78315767358902,0,0.11,55.26,69.56,360.79,637.81,3.63758615972639,NA,NA,0.473277777777778,NA,NA,101,-3.95733670920244,1.99594925289725,9
"12","Abrothrix_sanborni","Abrothrix_sanborni",0,0,0,"Abrothrix_sanborni","Abrothrix","CRICETIDAE","Abrothrix_sanborni",0,0,0,"Rodentia","Abrothrix","sanborni",2,3.20680324363393,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"890;2008;2655",NA,NA,NA,NA,9.81657744314603,-40.43,-43.29,-41.86,-71.97,-74.09,-73.03,1,2.54238908520136,1,0.07,133.02,78.92,686.74,730.21,1.6094379124341,NA,NA,NA,NA,NA,41,-2.65050155801452,2.47109132254451,1
"13","Aegialomys_galapagoensis","Oryzomys_galapagoensis",0,0,0,"Aegialomys_galapagoensis","Aegialomys","CRICETIDAE","Oryzomys_galapagoensis",0,0,0,"Rodentia","Oryzomys","galapagoensis",NA,4.15119737381488,112.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,7.73630709654828,NA,NA,NA,NA,NA,NA,NA,NA,NA,"641",NA,NA,NA,NA,3.14974008603334,-0.79,-0.83,-0.81,-90.02,-90.08,-90.05,4,1.6094379124341,4,0.33,NA,NA,NA,NA,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,4.01729274981537,1
"14","Aegialomys_xanthaeolus","Oryzomys_xanthaeolus",0,0,0,"Aegialomys_xanthaeolus","Aegialomys","CRICETIDAE","Oryzomys_xanthaeolus",0,0,0,"Rodentia","Oryzomys","xanthaeolus",NA,4.37939818332019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,12.6679089502967,-0.3,-16.53,-8.42,-71.05,-81.35,-76.2,0,4.11789831517584,4,0.08,51.73,120.08,681.25,1354.05,0,NA,NA,NA,NA,NA,NA,NA,4.01729274981537,0
"15","Aepeomys_lugens","Aepeomys_lugens",0,0,0,"Aepeomys_lugens","Aepeomys","CRICETIDAE","Aepeomys_lugens",0,0,0,"Rodentia","Aepeomys","lugens",NA,3.61091791264422,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"2151;2655",NA,NA,NA,NA,11.334424799266,9.49,1.39,5.44,-69.76,-76.35,-73.05,2,4.34769395559338,5,0.09,104.03,191.5,1406.36,1535.31,1.09861228866811,NA,NA,NA,NA,NA,213,-2.59409854242987,8.29615335912148,0
"16","Aepeomys_reigi","Aepeomys_reigi",0,0,0,"Aepeomys_reigi","Aepeomys","CRICETIDAE","Aepeomys_reigi",0,0,0,"Rodentia","Aepeomys","reigi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,199,NA,8.29615335912148,0
"17","Akodon_aerosus","Akodon_aerosus",0,0,0,"Akodon_aerosus","Akodon","CRICETIDAE","Akodon_aerosus",0,0,0,"Rodentia","Akodon","aerosus",NA,4.094177881665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.9879135262694,-1.49,-16.2,-8.85,-67.65,-78.17,-72.91,1,2.40604380136228,1,0.11,200.29,194.43,1341.01,1442.62,0,NA,NA,NA,NA,NA,396,-2.60858950806666,3.93490943205095,2
"18","Akodon_affinis","Akodon_affinis",0,0,0,"Akodon_affinis","Akodon","CRICETIDAE","Akodon_affinis",0,0,0,"Rodentia","Akodon","affinis",2,3.2144661163795,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,"2151;2655",NA,NA,NA,NA,10.9174456837883,10.29,0.89,5.59,-75.01,-77.82,-76.41,7,4.63327161609897,11,0.11,202.1,210.03,1499.05,1626.2,0,NA,NA,NA,NA,NA,259,-2.32808665286647,1.85884522223774,1
"19","Akodon_albiventer","Akodon_albiventer",0,0,0,"Akodon_albiventer","Akodon","CRICETIDAE","Akodon_albiventer",0,0,0,"Rodentia","Akodon","albiventer",3,3.2561716096119,NA,NA,NA,46.5,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,"890;1822;2655",NA,NA,NA,NA,12.9618570095803,-15.25,-26.78,-21.02,-64.2,-71.33,-67.76,0,2.65042108826557,0,0.06,43.02,31.73,511.33,1260.37,1.09861228866811,NA,NA,NA,NA,NA,210,-3.30704367974579,3.88935802285095,1
"20","Akodon_aliquantulus","Akodon_aliquantulus",0,0,0,"Akodon_aliquantulus","Akodon","CRICETIDAE","Akodon_aliquantulus",0,0,0,"Rodentia","Akodon","aliquantulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,71,NA,10.7851224245919,0
"21","Akodon_azarae","Akodon_azarae",6,1,0,"Akodon_azarae","Akodon","CRICETIDAE","Akodon_azarae",0,1,1,"Rodentia","Akodon","azarae",2,3.2296179214001,NA,NA,NA,39.95,23.5,4,NA,3.13549421592915,2,NA,NA,NA,4.59,1.25,NA,NA,8.94632925218657,NA,4.1250354095429,NA,NA,1,2,14.44,NA,NA,"730;890;896;1297;1822;1849;2034;2655",NA,NA,NA,NA,13.8843249121846,-20.62,-38.69,-29.65,-53.53,-67.94,-60.74,0,3.3603753871419,1,0.07,76.67,177.53,877.56,1078.08,4.9416424226093,NA,NA,NA,NA,NA,214,-3.69947192096445,2.64395498024086,59
"22","Akodon_bogotensis","Akodon_bogotensis",0,0,0,"Akodon_bogotensis","Akodon","CRICETIDAE","Akodon_bogotensis",0,0,0,"Rodentia","Akodon","bogotensis",NA,2.56417983068251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.6720510636276,10.03,2.08,6.06,-69.82,-75.42,-72.62,2,4.31428298258736,5,0.09,109.88,201.66,1394.45,1555.13,1.09861228866811,NA,NA,NA,NA,NA,291,-2.60521438044053,8.29189919601961,0
"23","Akodon_boliviensis","Akodon_boliviensis",0,0,0,"Akodon_boliviensis","Akodon","CRICETIDAE","Akodon_boliviensis",0,0,0,"Rodentia","Akodon","boliviensis",2,3.31418600467253,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,"890;1297;2655",NA,NA,NA,NA,13.1810013872132,-12.06,-29.36,-20.71,-63.19,-75.04,-69.11,0,2.86562358820697,1,0.08,80.06,97.74,783.36,1337.88,2.63905732961526,NA,NA,NA,NA,NA,273,-3.28827352138505,1.43127764228011,3
"24","Akodon_budini","Akodon_budini",0,0,0,"Akodon_budini","Akodon","CRICETIDAE","Akodon_budini",0,0,0,"Rodentia","Akodon","budini",NA,3.29212628660779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,9.91918716612883,-22.15,-24.75,-23.45,-65.46,-66.7,-66.08,0,1.54115907168081,0,0.15,40.9,-11.27,582.44,1257.52,0,NA,NA,NA,NA,NA,125,-2.21093823820725,3.1898742928019,3
"25","Akodon_cursor","Akodon_cursor",1,1,0,"Akodon_cursor","Akodon","CRICETIDAE","Akodon_cursor",0,1,1,"Rodentia","Akodon","cursor",1,3.6848714327164,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6.09329885298925,NA,NA,NA,NA,1,2,NA,NA,NA,"730;890;905;2655",NA,NA,NA,NA,14.1872699986585,-15.07,-29.44,-22.26,-41.26,-61.47,-51.37,0,4.26955757977876,0,0.06,123.19,205.84,1156.24,1307.89,3.93182563272433,NA,NA,NA,NA,NA,300,-3.68433181896926,3.74497470018172,34
"26","Akodon_dayi","Akodon_dayi",0,0,0,"Akodon_dayi","Akodon","CRICETIDAE","Akodon_dayi",0,0,0,"Rodentia","Akodon","dayi",1,3.48093234968101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"905;2655",NA,NA,NA,NA,12.5808142500621,-10.54,-18.8,-14.67,-62.35,-68.85,-65.6,0,2.61447185414264,0,0.2,95.97,208.81,1245.51,1479.63,0.693147180559945,NA,NA,NA,NA,NA,329,-2.9465823087018,2.93447679061345,0
"27","Akodon_dolores","Akodon_dolores",0,0,0,"Akodon_dolores","Akodon","CRICETIDAE","Akodon_dolores",0,0,0,"Rodentia","Akodon","dolores",NA,3.92177529687082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1297;2655",NA,NA,NA,NA,11.1868871056411,-28.45,-33.78,-31.11,-63.04,-65.84,-64.44,2,3.08282698040492,2,0.09,55.24,161.5,677.35,1013.7,2.83321334405622,NA,NA,NA,NA,0.468347330412157,83,-2.93932524727849,1.16261100057836,5
"28","Akodon_fumeus","Akodon_fumeus",0,0,0,"Akodon_fumeus","Akodon","CRICETIDAE","Akodon_fumeus",0,0,0,"Rodentia","Akodon","fumeus",NA,3.12192429879175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,12.0801417812869,-13.25,-22.46,-17.86,-63.17,-70.47,-66.82,1,3.0248055210397,1,0.11,103.06,153.05,1030.19,1433.39,0.693147180559945,NA,NA,NA,NA,NA,314,-2.74940926814861,1.57613172969543,0
"29","Akodon_iniscatus","Akodon_iniscatus",0,0,0,"Akodon_iniscatus","Akodon","CRICETIDAE","Akodon_iniscatus",0,0,0,"Rodentia","Akodon","iniscatus",NA,3.35689712276558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,12.8876953233783,-38.89,-50.2,-44.54,-64.95,-73.05,-69,0,1.11514159061932,0,0.13,21.27,90.68,278.4,587.96,1.94591014905531,NA,NA,NA,NA,NA,74,-3.72782324366257,4.3791369482269,1
"30","Akodon_josemariarguedasi","Akodon_orophilus",0,0,0,"Akodon_josemariarguedasi","Akodon","CRICETIDAE","Akodon_orophilus",0,0,0,"Rodentia","Akodon","orophilus",NA,3.66330520299451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.1989169392704,-4.58,-9.61,-7.09,-75.3,-78.6,-76.95,2,2.61080481666337,2,0.14,128.09,206.87,1227.84,1447.63,0.693147180559945,NA,NA,NA,NA,NA,215,-2.53118937010237,11.491675664243,0
"31","Akodon_juninensis","Akodon_juninensis",0,0,0,"Akodon_juninensis","Akodon","CRICETIDAE","Akodon_juninensis",0,0,0,"Rodentia","Akodon","juninensis",NA,3.66330520299451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,12.0126330922268,-6.6,-14.2,-10.4,-72.91,-78.62,-75.76,3,3.06665661189069,4,0.08,99.24,127.23,961.38,1424.49,0,NA,NA,NA,NA,NA,219,-2.87657615024237,2.45761905469086,0
"32","Akodon_kofordi","Akodon_kofordi",0,0,0,"Akodon_kofordi","Akodon","CRICETIDAE","Akodon_kofordi",0,0,0,"Rodentia","Akodon","kofordi",NA,3.38405122282718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,9.96498473473747,-12.87,-14.52,-13.7,-69.08,-71.62,-70.35,1,2.06305806242931,1,0.05,333.69,89.47,1387.81,1429.91,0,NA,NA,NA,NA,NA,264,-1.90613395567679,1.57613172969543,0
"33","Akodon_latebricola","Akodon_latebricola",0,0,0,"Akodon_latebricola","Akodon","CRICETIDAE","Akodon_latebricola",0,0,0,"Rodentia","Akodon","latebricola",NA,3.66330520299451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.0419253393869,0.87,-4.69,-1.91,-77.48,-79.44,-78.46,2,3.91422058897163,4,0.11,153.63,164.19,1226.33,1404.97,0.693147180559945,NA,NA,NA,NA,NA,193,-2.50988993547565,14.2549470407621,0
"34","Akodon_leucolimnaeus","Akodon_leucolimnaeus",0,0,0,"Akodon_leucolimnaeus","Akodon","CRICETIDAE","Akodon_leucolimnaeus",0,0,0,"Rodentia","Akodon","leucolimnaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,NA,32,NA,1.91010568866095,0
"35","Akodon_lindberghi","Akodon_lindberghi",0,0,0,"Akodon_lindberghi","Akodon","CRICETIDAE","Akodon_lindberghi",0,0,0,"Rodentia","Akodon","lindberghi",NA,3.27336401015227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,7.78352397134504,-13.9,-14.4,-14.15,-46.08,-46.57,-46.33,3,1.94448055624572,3,0.11,127.74,208.24,1072.25,1530,2.07944154167984,NA,NA,NA,NA,NA,219,-1.03989739567671,4.12006032946345,1
"36","Akodon_lutescens","Akodon_lutescens",0,0,0,"Akodon_caenosus","Akodon","CRICETIDAE","Akodon_lutescens",0,0,0,"Rodentia","Akodon","lutescens",NA,3.02965049175745,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"791;2655",NA,NA,NA,NA,12.67266311281,-13.39,-26.99,-20.19,-63.13,-70.85,-66.99,1,2.93651291389402,1,0.1,88.47,113.52,853.9,1367.5,1.09861228866811,NA,NA,NA,NA,NA,292,-3.03828480946385,1.88420841396022,0
"37","Akodon_mimus","Akodon_mimus",0,0,0,"Akodon_mimus","Akodon","CRICETIDAE","Akodon_mimus",0,0,0,"Rodentia","Akodon","mimus",NA,3.1776370768516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.2481998647426,-13.45,-18.25,-15.85,-63.95,-70.34,-67.14,1,3.11129061418826,1,0.14,131.58,141.34,1160.37,1420.7,0.693147180559945,NA,NA,NA,NA,NA,240,-2.504819890891,7.19892629031519,0
"38","Akodon_molinae","Akodon_molinae",0,0,0,"Akodon_molinae","Akodon","CRICETIDAE","Akodon_molinae",0,1,1,"Rodentia","Akodon","molinae",NA,3.49620448524049,NA,NA,91.25,NA,NA,NA,NA,3.13549421592915,1,NA,NA,30,3.77,NA,NA,NA,NA,NA,3.33470139037379,NA,NA,1,NA,26,NA,NA,"890;1297;2655",NA,3.9,NA,NA,11.843524559838,-33.7,-39.73,-36.71,-61.41,-68.77,-65.09,0,1.7509374747078,0,0.1,30.73,143.13,435.85,807.16,3.46573590279973,NA,NA,NA,NA,0.468347330412157,82,-3.22976351023955,1.16261100057836,14
