"","treename","traitname","studies","hPCR","competence","tip","gen","fam","Rodents","superres","Flag","Zdiv","MSW05_Order","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","WOS_HITS","Production","postnatGR","RelAgeSexMat","RelAgeBirth","logNeoBM","MammRich","SpeciesDensity","ed_equal","cites"
"1","Abrawayaomys_chebezi","Abrawayaomys_ruschii",0,0,0,"Abrawayaomys_chebezi","Abrawayaomys","CRICETIDAE","Abrawayaomys_ruschii",0,0,0,"Rodentia","Abrawayaomys","ruschii",NA,4.14297598363384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.7451277022156,-15.09,-19.84,-17.47,-40.52,-43.56,-42.04,5,3.10054263790634,7,0.06,107.06,209.1,1084.47,1402.39,0,NA,NA,NA,NA,NA,121,-3.01805878000482,6.83415867137969,0
"2","Abrawayaomys_ruschii","Abrawayaomys_ruschii",0,0,0,"Abrawayaomys_ruschii","Abrawayaomys","CRICETIDAE","Abrawayaomys_ruschii",0,0,0,"Rodentia","Abrawayaomys","ruschii",NA,4.14297598363384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.7451277022156,-15.09,-19.84,-17.47,-40.52,-43.56,-42.04,5,3.10054263790634,7,0.06,107.06,209.1,1084.47,1402.39,0,NA,NA,NA,NA,NA,121,-3.01805878000482,6.83415867137969,2
"3","Abrothrix_andinus","Abrothrix_andinus",0,0,0,"Abrothrix_andinus","Abrothrix","CRICETIDAE","Abrothrix_andinus",0,0,0,"Rodentia","Abrothrix","andinus",3,3.21526932927409,NA,NA,NA,64.8,34.6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"890;1822;2655",NA,NA,NA,NA,13.49054443342,-12.18,-34.65,-23.42,-65.15,-74.53,-69.84,0,2.82078347108945,0,0.05,51.98,14.3,482.37,1242.1,3.3322045101752,NA,NA,NA,NA,NA,273,-3.42270635826417,5.09870632278901,3
"4","Abrothrix_hershkovitzi","Abrothrix_hershkovitzi",0,0,0,"Abrothrix_hershkovitzi","Abrothrix","CRICETIDAE","Abrothrix_hershkovitzi",0,0,0,"Rodentia","Abrothrix","hershkovitzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48196125346518,-53.65,-55.9,-54.77,-67.25,-70.89,-69.07,0,1.46787434811231,0,0.02,35.19,36.26,NA,NA,0,NA,NA,NA,NA,NA,5,-2.55040448185785,3.46245774359451,0
"5","Abrothrix_illuteus","Abrothrix_illuteus",0,0,0,"Abrothrix_illuteus","Abrothrix","CRICETIDAE","Abrothrix_illuteus",0,0,0,"Rodentia","Abrothrix","illuteus",NA,3.86681641259007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,10.4733237904263,-23.57,-27.53,-25.55,-64.95,-66.51,-65.73,0,2.93492013415723,1,0.08,57.04,41.89,629.18,1280.01,1.09861228866811,NA,NA,NA,NA,NA,121,-2.46572135905172,5.35675503528901,0
"6","Abrothrix_jelskii","Abrothrix_jelskii",0,0,0,"Abrothrix_jelskii","Abrothrix","CRICETIDAE","Abrothrix_jelskii",0,0,0,"Rodentia","Abrothrix","jelskii",2,3.54095932403731,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,"890;2655",NA,NA,NA,NA,13.13507170347,-12.23,-23.92,-18.08,-64.22,-73.6,-68.91,0,2.7324175575505,1,0.06,76.81,68.22,704.46,1304.63,0.693147180559945,NA,NA,NA,NA,NA,318,-3.20206204023614,5.35675503528901,0
"7","Abrothrix_lanosus","Abrothrix_lanosus",0,0,0,"Abrothrix_lanosus","Abrothrix","CRICETIDAE","Abrothrix_lanosus",0,0,0,"Rodentia","Abrothrix","lanosus",NA,3.3261145755378,NA,NA,NA,45.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1473;1822;2655",NA,NA,NA,NA,10.669342993968,-50.67,-54.84,-52.76,-67.08,-74.96,-71.02,0,0.89199803930511,0,0.24,60.63,45.34,380.38,431.52,0.693147180559945,NA,NA,NA,NA,NA,37,-3.06543506374642,4.49336344228901,0
"8","Abrothrix_longipilis","Abrothrix_longipilis",6,1,0,"Abrothrix_longipilis","Abrothrix","CRICETIDAE","Abrothrix_longipilis",0,0,0,"Rodentia","Abrothrix","longipilis",2,3.65996544394929,NA,NA,112.3,57.61,42.3,7,NA,NA,3,NA,NA,17,3.7,NA,NA,NA,7.92919850487912,NA,3.94603788401542,NA,NA,2,2,NA,NA,NA,"730;890;1114;1130;1297;1420;1449;1473;1492;1822;2006;2008;2242;2655",NA,5.19,NA,NA,12.9570728694524,-30.29,-54.17,-42.23,-68.63,-73.75,-71.19,0,3.5201649007262,0,0.1,64.15,64.48,454.6,677.15,3.73766961828337,NA,NA,NA,NA,0.517195897949974,90,-3.6729427393822,6.77038172857803,11
"9","Abrothrix_manni","Abrothrix_sanborni",0,0,0,"Abrothrix_manni","Abrothrix","CRICETIDAE","Abrothrix_sanborni",0,0,0,"Rodentia","Abrothrix","sanborni",2,3.20680324363393,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"890;2008;2655",NA,NA,NA,NA,9.81657744314603,-40.43,-43.29,-41.86,-71.97,-74.09,-73.03,1,2.54238908520136,1,0.07,133.02,78.92,686.74,730.21,1.6094379124341,NA,NA,NA,NA,NA,41,-2.65050155801452,2.47109132254451,1
"10","Abrothrix_markhami","Abrothrix_markhami",0,0,0,"Abrothrix_markhami","Abrothrix","CRICETIDAE","Abrothrix_markhami",0,0,0,"Rodentia","Abrothrix","markhami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71344559513214,-48.67,-50.06,-49.37,-74.38,-75.47,-74.92,0,0.524728528934982,0,0,281.3,46.78,359.8,563.33,0.693147180559945,NA,NA,NA,NA,NA,7,-2.93910330031583,1.99594925289725,0
